method,region,size,threads,mean,ci
omp_com,Triple_Spiral_Valley,256,8,0.01658068,0.00020473823664
omp_com,Triple_Spiral_Valley,256,16,0.015231725,0.0003104834824
omp_com,Triple_Spiral_Valley,256,32,0.014011405,0.0001647741228
omp_com,Triple_Spiral_Valley,512,1,0.300019202,0.000646841399512
omp_com,Triple_Spiral_Valley,512,2,0.1656148,0.0007465915184000001
omp_com,Triple_Spiral_Valley,512,4,0.092055847,0.00030673008220399997
omp_com,Triple_Spiral_Valley,512,8,0.063244893,0.000458651964036
omp_com,Triple_Spiral_Valley,512,16,0.053193721,0.0013240981031319998
omp_com,Triple_Spiral_Valley,512,32,0.052176018,0.000726081466488
omp_com,Triple_Spiral_Valley,1024,1,1.203685365,0.024771844811699997
omp_com,Triple_Spiral_Valley,1024,2,0.671296846,0.01513103090884
omp_com,Triple_Spiral_Valley,1024,4,0.369294314,0.004487664503728001
omp_com,Triple_Spiral_Valley,1024,8,0.249619605,0.00136991239224
omp_com,Triple_Spiral_Valley,1024,16,0.204312315,0.00304343624424
omp_com,Triple_Spiral_Valley,1024,32,0.193023405,0.00242128559232
omp_com,Triple_Spiral_Valley,2048,1,4.731477571,0.038949523364472
omp_com,Triple_Spiral_Valley,2048,2,2.635923732,0.029965180985376
omp_com,Triple_Spiral_Valley,2048,4,1.461654847,0.012605311400527999
omp_com,Triple_Spiral_Valley,2048,8,0.966608288,0.0018945522444800001
omp_com,Triple_Spiral_Valley,2048,16,0.787707716,0.007873926329136001
omp_com,Triple_Spiral_Valley,2048,32,0.7478784,0.006596287488
omp_com,Triple_Spiral_Valley,4096,1,18.362369998,0.014396098078431998
omp_com,Triple_Spiral_Valley,4096,2,10.354889267,0.018266024666988002
omp_com,Triple_Spiral_Valley,4096,4,5.77043706,0.01470307362888
omp_com,Triple_Spiral_Valley,4096,8,3.860758788,0.015134174448960001
omp_com,Triple_Spiral_Valley,4096,16,3.135625249,0.037489535477044
omp_com,Triple_Spiral_Valley,4096,32,3.03290402,0.01307788213424
omp_com,Triple_Spiral_Valley,8192,1,73.290387662,0.27293340365328805
omp_com,Triple_Spiral_Valley,8192,2,41.082727917,0.040261073358660006
omp_com,Triple_Spiral_Valley,8192,4,23.072867807,0.049745102991892
omp_com,Triple_Spiral_Valley,8192,8,15.366615633,0.051201563289156
omp_com,Triple_Spiral_Valley,8192,16,12.522922273,0.09817971062032001
omp_com,Triple_Spiral_Valley,8192,32,12.211917372,0.03590303707368
pth_com,Full_Picture,16,1,0.000769264,0.00035552920435199994
pth_com,Full_Picture,16,2,0.000562212,2.7328000896e-5
pth_com,Full_Picture,16,4,0.000620519,2.0797314804e-5
pth_com,Full_Picture,16,8,0.000728826,7.171064779199999e-5
pth_com,Full_Picture,16,16,0.000913978,8.688274867999998e-5
pth_com,Full_Picture,16,32,0.001232234,3.1155804456000006e-5
pth_com,Full_Picture,32,1,0.000748494,1.8924922296000003e-5
pth_com,Full_Picture,32,2,0.000723035,1.4029771139999999e-5
pth_com,Full_Picture,32,4,0.00071292,1.914332784e-5
pth_com,Full_Picture,32,8,0.000753961,2.6008638655999998e-5
pth_com,Full_Picture,32,16,0.000933351,2.3232973092e-5
pth_com,Full_Picture,32,32,0.001245557,3.8572409176e-5
pth_com,Full_Picture,64,1,0.001448233,1.6179659076e-5
pth_com,Full_Picture,64,2,0.001237049,1.3820311428000001e-5
pth_com,Full_Picture,64,4,0.001007572,3.0215069136000003e-5
