method,threads,process,dimension,mean,ci
mpi_omp_2,4,60,1,3.9787,0.125636
mpi_omp_2,8,60,1,4.528,0.21364
mpi_omp_2,16,60,1,4.41,0.20776
mpi_omp_2,32,60,1,4.537,0.03822
mpi_omp_2,64,60,1,4.0648,0.05488
mpi_omp_2,1,64,1,3.7699,0.042532
mpi_omp_2,2,64,1,3.7283,0.033908
mpi_omp_2,4,64,1,3.8962,0.030771999999999997
mpi_omp_2,8,64,1,4.071,0.032928
mpi_omp_2,16,64,1,4.529,0.22736
mpi_omp_2,32,64,1,5.065,0.26264
mpi_omp_2,64,64,1,4.1673,0.045472
cuda_mpi_1,1,2,4,6.2236,0.182672
cuda_mpi_1,1,4,4,6.933,1.01332
cuda_mpi_1,1,6,4,7.443,0.40375999999999995
cuda_mpi_1,1,8,4,7.64,0.134848
cuda_mpi_1,1,10,4,8.621,0.7938000000000001
cuda_mpi_1,1,12,4,9.08,0.66444
cuda_mpi_1,1,14,4,9.197,0.5723199999999999
cuda_mpi_1,1,16,4,9.943,0.55272
cuda_mpi_1,1,18,4,11.036,0.77028
cuda_mpi_1,1,20,4,11.531,0.48608
cuda_mpi_1,1,22,4,11.6277,0.06624799999999999
cuda_mpi_1,1,24,4,12.927,1.02116
cuda_mpi_1,1,26,4,13.642,0.87024
cuda_mpi_1,1,28,4,14.113,0.6076
cuda_mpi_1,1,30,4,14.865,0.45472
cuda_mpi_1,1,32,4,15.91,0.98588
cuda_mpi_1,1,2,8,6.3532,0.120736
cuda_mpi_1,1,4,8,6.734,0.96432
cuda_mpi_1,1,6,8,7.828,0.95256
cuda_mpi_1,1,8,8,7.8979,0.12152
cuda_mpi_1,1,10,8,8.283,0.61152
cuda_mpi_1,1,12,8,8.787,0.6076
cuda_mpi_1,1,14,8,9.641,0.72324
cuda_mpi_1,1,16,8,10.01,0.39004
cuda_mpi_1,1,18,8,10.3762,0.10466400000000001
cuda_mpi_1,1,20,8,11.481,0.53312
cuda_mpi_1,1,22,8,11.971,0.40963999999999995
cuda_mpi_1,1,24,8,12.1808,0.119364
cuda_mpi_1,1,26,8,13.459,0.78988
cuda_mpi_1,1,28,8,13.815,0.54488
cuda_mpi_1,1,30,8,14.879,0.6272
cuda_mpi_1,1,32,8,15.141,0.25676
cuda_mpi_1,1,2,16,6.441,0.097412
cuda_mpi_1,1,4,16,6.603,1.1465999999999998
cuda_mpi_1,1,6,16,7.65,0.68992
cuda_mpi_1,1,8,16,7.7062,0.137396
cuda_mpi_1,1,10,16,8.629,0.54488
cuda_mpi_1,1,12,16,8.354,0.13524
cuda_mpi_1,1,14,16,9.441,0.5742799999999999
cuda_mpi_1,1,16,16,9.688,0.25872
cuda_mpi_1,1,18,16,11.244,0.7546
cuda_mpi_1,1,20,16,11.549,0.51352
cuda_mpi_1,1,22,16,11.884,0.38612
cuda_mpi_1,1,24,16,12.518,0.51352
cuda_mpi_1,1,26,16,13.595,0.66444
cuda_mpi_1,1,28,16,14.071,0.64484
cuda_mpi_1,1,30,16,14.3685,0.152684
cuda_mpi_1,1,32,16,15.625,0.67816
cuda_mpi_1,1,2,32,6.234,0.35084
cuda_mpi_1,1,4,32,6.414,0.86632
cuda_mpi_1,1,6,32,7.436,0.6624800000000001
cuda_mpi_1,1,8,32,7.624,0.30968
cuda_mpi_1,1,10,32,8.186,0.60564
cuda_mpi_1,1,12,32,8.768,0.5292
cuda_mpi_1,1,14,32,9.799,0.83104
cuda_mpi_1,1,16,32,10.075,0.46647999999999995
cuda_mpi_1,1,18,32,10.465,0.45080000000000003
cuda_mpi_1,1,20,32,11.095,0.2548
cuda_mpi_1,1,22,32,11.88,0.41159999999999997
cuda_mpi_1,1,24,32,12.793,0.7742
cuda_mpi_1,1,26,32,13.256,0.52332
cuda_mpi_1,1,28,32,13.436,0.34691999999999995
cuda_mpi_1,1,30,32,14.403,0.59388
cuda_mpi_1,1,32,32,15.139,0.5292
cuda_mpi_1,1,2,64,6.417,0.49196
cuda_mpi_1,1,4,64,7.248,1.0623200000000002
cuda_mpi_1,1,6,64,7.688,0.35672
cuda_mpi_1,1,8,64,7.718,0.29988
cuda_mpi_1,1,10,64,8.1427,0.094668
cuda_mpi_1,1,12,64,9.208,0.63112
cuda_mpi_1,1,14,64,9.09,0.28224
cuda_mpi_1,1,16,64,9.706,0.5899599999999999
cuda_mpi_1,1,18,64,10.468,0.23912
cuda_mpi_1,1,20,64,11.49,0.8428
cuda_mpi_1,1,22,64,12.317,0.65464
cuda_mpi_1,1,24,64,12.604,0.62132
cuda_mpi_1,1,26,64,13.495,0.85652
cuda_mpi_1,1,28,64,14.444,0.74284
cuda_mpi_1,1,30,64,14.911,0.73108
cuda_mpi_1,1,32,64,15.613,0.57624
cuda_mpi_2,1,4,4,7.4305,0.080752
cuda_mpi_2,1,4,8,8.576,0.637
cuda_mpi_2,1,4,16,7.953,0.6879599999999999
cuda_mpi_2,1,4,32,7.339,0.56056
cuda_mpi_2,1,4,64,8.241,0.72324
cuda_mpi_2,1,8,4,7.989,0.24892
cuda_mpi_2,1,8,8,8.509,0.91532
cuda_mpi_2,1,8,16,8.542,0.69972
cuda_mpi_2,1,8,32,8.211,0.4998
cuda_mpi_2,1,8,64,7.992,0.5037200000000001
cuda_mpi_2,1,12,4,8.975,1.04664
cuda_mpi_2,1,12,8,9.586,1.16032
cuda_mpi_2,1,12,16,8.563,0.79184
cuda_mpi_2,1,12,32,8.49,0.94472
cuda_mpi_2,1,12,64,8.41,0.5683999999999999
cuda_mpi_2,1,16,4,10.18,1.2132399999999999
cuda_mpi_2,1,16,8,9.739,0.91924
cuda_mpi_2,1,16,16,8.618,0.42532
cuda_mpi_2,1,16,32,8.842,0.5840799999999999
cuda_mpi_2,1,16,64,8.859,0.5723199999999999
cuda_mpi_2,1,20,4,10.61,0.9702
cuda_mpi_2,1,20,8,9.784,0.68992
cuda_mpi_2,1,20,16,9.561,0.9702
cuda_mpi_2,1,20,32,9.8,0.6918799999999999
cuda_mpi_2,1,20,64,10.307,0.92316
cuda_mpi_2,1,24,4,9.776,0.6820799999999999
cuda_mpi_2,1,24,8,10.131,0.5742799999999999
cuda_mpi_2,1,24,16,9.998,0.9133600000000001
cuda_mpi_2,1,24,32,10.703,1.19952
cuda_mpi_2,1,24,64,9.597,0.46255999999999997
cuda_mpi_2,1,28,4,10.255,0.88788
cuda_mpi_2,1,28,8,10.864,1.20932
cuda_mpi_2,1,28,16,11.553,0.9251199999999999
cuda_mpi_2,1,28,32,9.957,1.08192
cuda_mpi_2,1,28,64,10.355,0.5292
cuda_mpi_2,1,32,4,12.145,0.9408
cuda_mpi_2,1,32,8,11.022,0.88788
cuda_mpi_2,1,32,16,10.833,0.76244
cuda_mpi_2,1,32,32,10.905,0.9016000000000001
cuda_mpi_2,1,32,64,12.086,1.45628
cuda_mpi_2,1,36,4,11.923,0.88004
cuda_mpi_2,1,36,8,11.968,1.03096
cuda_mpi_2,1,36,16,12.843,1.127
cuda_mpi_2,1,36,32,12.306,0.97412
cuda_mpi_2,1,36,64,11.693,0.8016399999999999
cuda_mpi_2,1,40,4,13.217,1.1858
cuda_mpi_2,1,40,8,13.253,1.03292
cuda_mpi_2,1,40,16,11.901,0.6879599999999999
cuda_mpi_2,1,40,32,13.21,1.029
cuda_mpi_2,1,40,64,14.089,0.9996
cuda_mpi_2,1,44,4,12.394,0.5840799999999999
cuda_mpi_2,1,44,8,14.006,1.04272
cuda_mpi_2,1,44,16,14.791,0.84476
cuda_mpi_2,1,44,32,12.655,0.70168
cuda_mpi_2,1,44,64,13.399,0.98
cuda_mpi_2,1,48,4,14.717,1.00156
cuda_mpi_2,1,48,8,14.092,1.03684
cuda_mpi_2,1,48,16,14.234,1.05448
cuda_mpi_2,1,48,32,14.534,1.2446
cuda_mpi_2,1,48,64,13.119,0.45080000000000003
cuda_mpi_2,1,52,4,15.032,0.97608
cuda_mpi_2,1,52,8,14.579,1.0584
cuda_mpi_2,1,52,16,13.755,0.61544
cuda_mpi_2,1,52,32,14.742,1.05448
cuda_mpi_2,1,52,64,15.137,1.14072
cuda_mpi_2,1,56,4,16.095,1.07212
cuda_mpi_2,1,56,8,15.5,1.00352
cuda_mpi_2,1,56,16,14.941,0.9368799999999999
cuda_mpi_2,1,56,32,15.563,1.029
